번호,키워드,카테고리,예상 검색량,콘텐츠 유형 추천,수익화 연결,posted,slug,posted_at
1,신생아 기저귀 추천,기저귀/위생,5400,제품 비교,쿠팡 파트너스,Y,newborn-diaper-recommendations,2026-03-03
2,기저귀 사이즈 선택 방법,기저귀/위생,3600,정보 가이드,쿠팡 파트너스,Y,diaper-size-selection-guide,2026-03-03
3,기저귀 발진 원인 치료,기저귀/위생,2900,증상 해결,쿠팡 파트너스,Y,diaper-rash-causes-treatment,2026-03-03
4,밤기저귀 추천,기저귀/위생,2400,제품 비교,쿠팡 파트너스,Y,night-diaper-recommendation,2026-03-03
5,기저귀 떼는 시기 방법,기저귀/위생,4800,육아 가이드,쿠팡 파트너스,Y,potty-training-timing-methods,2026-03-03
6,아기 물티슈 추천,기저귀/위생,4200,제품 비교,쿠팡 파트너스,Y,baby-wipes-recommendations,2026-03-03
7,아기 물티슈 성분 비교,기저귀/위생,2100,정보 가이드,쿠팡 파트너스,Y,baby-wipes-ingredient-comparison,2026-03-03
8,배변훈련 시작 시기,기저귀/위생,3200,육아 가이드,쿠팡 파트너스,Y,potty-training-start-time,2026-03-03
9,아기 엉덩이 크림 추천,기저귀/위생,1800,제품 비교,쿠팡 파트너스,Y,baby-butt-cream-recommendations,2026-03-03
10,천기저귀 vs 일회용 비교,기저귀/위생,1500,정보 가이드,쿠팡 파트너스,Y,cloth-diapers-vs-disposable-comparison,2026-03-03
11,모유수유 자세 방법,수유/이유식,6200,육아 가이드,쿠팡 파트너스,Y,breastfeeding-positions-techniques,2026-03-03
12,분유 추천 비교,수유/이유식,7800,제품 비교,쿠팡 파트너스,Y,baby-formula-recommendations-comparison,2026-03-04
13,이유식 시작 시기,수유/이유식,8900,육아 가이드,쿠팡 파트너스,Y,baby-food-starting-time,2026-03-04
14,이유식 초기 레시피,수유/이유식,5600,정보 가이드,쿠팡 파트너스,Y,baby-food-initial-recipes,2026-03-04
15,젖병 소독 방법,수유/이유식,3800,육아 가이드,쿠팡 파트너스,Y,bottle-disinfection-method,2026-03-04
16,젖병 추천 비교,수유/이유식,4500,제품 비교,쿠팡 파트너스,Y,bottle-recommendation-comparison,2026-03-04
17,분유제조기 추천,수유/이유식,3200,제품 비교,쿠팡 파트너스,Y,baby-formula-maker-recommendations,2026-03-04
18,이유식 중기 메뉴,수유/이유식,3400,정보 가이드,쿠팡 파트너스,Y,baby-food-stage-2-menu,2026-03-04
19,수유쿠션 추천,수유/이유식,2800,제품 비교,쿠팡 파트너스,Y,nursing-pillow-recommendations,2026-03-04
20,아기 간식 시작 시기,수유/이유식,2600,육아 가이드,쿠팡 파트너스,Y,baby-snack-starting-time,2026-03-04
21,단유 방법 시기,수유/이유식,3100,육아 가이드,쿠팡 파트너스,Y,weaning-method-timing,2026-03-04
22,젖몸살 해결 방법,수유/이유식,2400,증상 해결,쿠팡 파트너스,Y,breastfeeding-pain-relief-methods,2026-03-08
23,이유식 후기 레시피,수유/이유식,2200,정보 가이드,쿠팡 파트너스,Y,baby-food-reviews-recipes,2026-03-08
24,아기 식기 세트 추천,수유/이유식,1900,제품 비교,쿠팡 파트너스,Y,baby-dinnerware-set-recommendations,2026-03-08
25,모유량 늘리는 방법,수유/이유식,3500,육아 가이드,쿠팡 파트너스,Y,increase-breastmilk-supply,2026-03-08
26,아기 발열 대처법,유아 건강/안전,7200,증상 해결,쿠팡 파트너스,Y,baby-fever-management,2026-03-08
27,아기 감기 증상 대처,유아 건강/안전,5400,증상 해결,쿠팡 파트너스,Y,baby-cold-symptoms-management,2026-03-08
28,영유아 예방접종 스케줄,유아 건강/안전,6100,정보 가이드,쿠팡 파트너스,Y,infant-vaccination-schedule,2026-03-08
29,아기 변비 원인 해결,유아 건강/안전,3800,증상 해결,쿠팡 파트너스,Y,baby-constipation-causes-solutions,2026-03-08
30,아기 설사 원인 대처,유아 건강/안전,3200,증상 해결,쿠팡 파트너스,Y,baby-diarrhea-causes-management,2026-03-08
31,아기 배앓이 증상 해결,유아 건강/안전,4500,증상 해결,쿠팡 파트너스,Y,baby-stomach-ache-symptoms-solution,2026-03-08
32,아기 콧물 흡입기 추천,유아 건강/안전,2800,제품 비교,쿠팡 파트너스,Y,baby-nasal-suction-device-recommendation,2026-03-10
33,아기 체온계 추천,유아 건강/안전,3100,제품 비교,쿠팡 파트너스,Y,baby-thermometer-recommendations,2026-03-10
34,아기 아토피 관리법,유아 건강/안전,4200,증상 해결,쿠팡 파트너스,Y,baby-atopy-management,2026-03-10
35,아기 습진 원인 치료,유아 건강/안전,2600,증상 해결,쿠팡 파트너스,Y,baby-eczema-causes-treatment,2026-03-10
36,아기 이앓이 증상 대처,유아 건강/안전,3400,증상 해결,쿠팡 파트너스,Y,baby-teething-symptoms-management,2026-03-10
37,아기 중이염 증상,유아 건강/안전,2100,증상 해결,쿠팡 파트너스,Y,baby-ear-infection-symptoms,2026-03-10
38,유아 안전문 추천,유아 건강/안전,2400,제품 비교,쿠팡 파트너스,Y,baby-gate-recommendations,2026-03-10
39,아기 가습기 추천,유아 건강/안전,4800,제품 비교,쿠팡 파트너스,Y,baby-humidifier-recommendations,2026-03-10
40,영유아 비타민D 추천,유아 건강/안전,2900,제품 비교,쿠팡 파트너스,Y,recommended-vitamin-d-for-infants,2026-03-10
41,아기 유산균 추천,유아 건강/안전,3600,제품 비교,쿠팡 파트너스,Y,baby-probiotic-recommendations,2026-03-10
42,아기 태열 원인 관리,유아 건강/안전,2300,증상 해결,쿠팡 파트너스,Y,baby-heat-rash-causes-management,2026-03-11
43,아기 땀띠 예방 치료,유아 건강/안전,1800,증상 해결,쿠팡 파트너스,Y,baby-heat-rash-prevention-treatment,2026-03-11
44,아기 구토 원인 대처,유아 건강/안전,2500,증상 해결,쿠팡 파트너스,Y,baby-vomiting-causes-response,2026-03-11
45,아기 야제증 원인 해결,유아 건강/안전,1600,증상 해결,쿠팡 파트너스,Y,baby-night-terrors-causes-solutions,2026-03-11
46,유모차 추천 비교,유모차/카시트,8600,제품 비교,쿠팡 파트너스,Y,stroller-recommendations-comparison,2026-03-11
47,디럭스 유모차 추천,유모차/카시트,3200,제품 비교,쿠팡 파트너스,Y,deluxe-stroller-recommendations,2026-03-11
